episode,timestep,reward
47,600,1.3092
97,1200,1.2452
128,1800,1.5364
162,2400,1.6782
187,3000,1.8088
219,3600,1.7516
237,4200,2.1353
256,4800,2.1652
269,5400,2.2811
285,6000,2.0274
297,6600,2.536
313,7200,2.4067
322,7800,2.3761
338,8400,2.3537
352,9000,2.8516
365,9600,3.454
379,10200,2.5943
394,10800,3.7789
407,11400,3.5207
417,12000,3.7937
427,12600,3.5339
438,13200,3.4251
450,13800,4.8165
459,14400,5.1247
467,15000,9.8457
476,15600,6.9362
485,16200,9.5907
494,16800,7.7073
503,17400,11.7673
509,18000,14.6624
516,18600,15.0523
522,19200,16.4587
527,19800,36.0633
534,20400,18.861
539,21000,18.0652
546,21600,15.4815
550,22200,44.1143
556,22800,37.2146
561,23400,29.3149
565,24000,45.6497
571,24600,23.9825
576,25200,35.6817
581,25800,45.1675
586,26400,39.8253
591,27000,51.607
595,27600,48.1432
600,28200,44.0849
605,28800,37.2873
609,29400,67.3213
613,30000,49.928
618,30600,57.5207
624,31200,39.3007
629,31800,54.8973
633,32400,63.8493
638,33000,48.3595
641,33600,71.8769
647,34200,45.8465
651,34800,53.5155
656,35400,54.5157
660,36000,62.1702
665,36600,52.3029
671,37200,43.5345
675,37800,57.5991
680,38400,51.1892
684,39000,64.5347
688,39600,57.4952
693,40200,56.2957
697,40800,64.8256
701,41400,55.8545
705,42000,59.9294
709,42600,70.4757
713,43200,52.1716
716,43800,97.6144
722,44400,53.3957
726,45000,66.1036
730,45600,62.9042
735,46200,45.006
739,46800,68.0101
743,47400,63.3937
747,48000,62.0549
751,48600,64.4705
754,49200,79.871
758,49800,69.8547
761,50400,87.3302
764,51000,77.6586
767,51600,73.3572
770,52200,73.2543
773,52800,78.0482
776,53400,105.5698
780,54000,76.6424
783,54600,79.1235
786,55200,87.5795
788,55800,93.2968
791,56400,140.7376
794,57000,98.8184
797,57600,89.8201
799,58200,98.3844
802,58800,115.1667
805,59400,97.0322
808,60000,90.6425
810,60600,113.0521
812,61200,121.6671
814,61800,148.6142
816,62400,101.868
818,63000,144.7265
820,63600,108.8327
822,64200,127.1022
825,64800,132.1259
828,65400,95.6293
831,66000,88.7561
833,66600,154.5923
835,67200,120.0401
837,67800,94.755
839,68400,136.3182
843,69000,95.2318
845,69600,116.7192
847,70200,144.9498
849,70800,154.302
851,71400,109.6726
853,72000,143.5156
855,72600,93.0552
857,73200,150.5263
859,73800,149.5815
861,74400,124.0783
863,75000,181.7906
865,75600,164.2166
869,76200,91.9303
871,76800,148.5479
873,77400,138.3386
875,78000,143.9601
877,78600,94.2306
879,79200,176.2905
881,79800,119.6689
884,80400,99.2166
886,81000,157.1849
888,81600,77.9505
890,82200,104.9492
892,82800,103.7925
894,83400,168.5877
896,84000,132.3916
899,84600,102.5673
901,85200,132.0618
904,85800,103.6279
906,86400,97.4935
908,87000,129.5457
910,87600,157.0389
912,88200,119.4375
915,88800,140.1323
917,89400,162.4184
919,90000,169.7137
921,90600,127.9677
923,91200,170.3557
925,91800,144.8395
927,92400,132.5402
929,93000,159.3589
931,93600,156.8353
933,94200,154.3546
935,94800,144.5246
937,95400,160.5038
939,96000,160.0258
941,96600,115.2469
943,97200,167.857
945,97800,139.0596
947,98400,125.3846
949,99000,147.8073
951,99600,146.6862
953,100200,153.8532
955,100800,126.6018
957,101400,173.8801
959,102000,80.1755
961,102600,151.4335
963,103200,157.0386
965,103800,88.1193
968,104400,110.9964
970,105000,143.8307
972,105600,115.153
974,106200,169.2896
976,106800,142.8479
978,107400,139.6659
981,108000,64.5049
983,108600,140.0794
986,109200,83.6518
988,109800,141.6989
991,110400,110.6621
993,111000,157.466
995,111600,163.7694
997,112200,145.4406
999,112800,145.9701
1001,113400,160.4949
1003,114000,144.8268
1005,114600,181.3679
1007,115200,142.4745
1009,115800,177.1153
1011,116400,179.4815
1013,117000,185.5339
1015,117600,181.3863
1017,118200,170.556
1019,118800,95.2172
1021,119400,182.674
1023,120000,179.4331
1025,120600,184.3196
1027,121200,172.4903
1032,121800,81.6674
1034,122400,179.223
1036,123000,132.3701
1038,123600,180.0944
1040,124200,179.5962
1042,124800,161.9811
1045,125400,154.3693
1047,126000,191.1947
1049,126600,190.9143
1051,127200,177.6048
1054,127800,68.0309
1056,128400,192.9097
1059,129000,122.4076
1061,129600,195.2284
1064,130200,163.8183
1066,130800,188.784
1068,131400,181.9208
1070,132000,110.5921
1072,132600,186.0238
1074,133200,187.7022
1076,133800,177.2265
1078,134400,181.6841
1081,135000,128.0854
1084,135600,114.7224
1087,136200,167.2746
1090,136800,127.1935
1092,137400,187.1801
1094,138000,98.3491
1096,138600,179.036
1098,139200,185.956
1100,139800,168.5123
1102,140400,184.667
1104,141000,183.5306
1106,141600,188.6657
1108,142200,193.5473
1110,142800,185.4652
1112,143400,201.5759
1114,144000,190.5715
1116,144600,192.6431
1118,145200,197.4392
1120,145800,199.9834
1123,146400,176.2927
1126,147000,138.0143
1129,147600,62.3261
1132,148200,161.1256
1134,148800,179.8045
1136,149400,174.575
1138,150000,173.3538
1140,150600,188.7625
1142,151200,192.3329
1144,151800,190.1566
1146,152400,175.8879
1148,153000,177.5226
1150,153600,181.5077
1152,154200,184.2724
1154,154800,192.0427
1157,155400,127.6271
1159,156000,177.6
1161,156600,191.8077
1163,157200,184.6025
1165,157800,190.5302
1167,158400,195.2961
1169,159000,197.8213
1171,159600,179.4916
1173,160200,185.9555
1175,160800,186.8626
1177,161400,194.2123
1179,162000,199.8591
1183,162600,80.7313
1187,163200,90.7811
1189,163800,189.7528
1191,164400,192.3174
1193,165000,199.1881
1195,165600,200.4047
1197,166200,203.685
1199,166800,175.7792
1202,167400,169.7862
1204,168000,189.0912
1208,168600,75.4333
1210,169200,191.6285
1214,169800,111.0289
1217,170400,131.9668
1219,171000,203.8595
1221,171600,195.1224
1223,172200,189.1665
1226,172800,130.8166
1228,173400,154.6291
1230,174000,197.4626
1233,174600,131.9401
1235,175200,191.1867
1237,175800,196.7734
1239,176400,191.2952
1241,177000,201.915
1243,177600,197.0927
1245,178200,201.5263
1247,178800,193.7193
1249,179400,206.1039
1251,180000,201.1775
1253,180600,201.3277
1255,181200,202.7433
1257,181800,200.4105
1259,182400,164.0138
1261,183000,201.3637
1263,183600,196.7996
1266,184200,140.0907
1268,184800,206.712
1270,185400,208.0226
1272,186000,187.9678
1274,186600,202.5985
1276,187200,196.3313
1279,187800,170.0812
1281,188400,216.6493
1283,189000,135.8435
1285,189600,207.3615
1287,190200,208.5164
1289,190800,207.4094
1291,191400,203.3895
1293,192000,198.9432
1295,192600,212.1017
1297,193200,186.5314
1299,193800,207.1154
1301,194400,205.8448
1303,195000,209.5117
1305,195600,221.5628
1307,196200,213.6515
1309,196800,217.6181
1311,197400,203.5983
1313,198000,212.693
1316,198600,145.6589
1318,199200,215.5403
1320,199800,213.9722
1322,200400,217.376
1324,201000,218.8341
1326,201600,216.8879
1329,202200,180.5552
1331,202800,212.4643
1333,203400,217.403
1336,204000,148.0286
1338,204600,216.7239
1340,205200,206.8275
1342,205800,214.2428
1344,206400,213.8466
1346,207000,172.386
1348,207600,208.0207
1350,208200,207.026
1352,208800,218.8881
1354,209400,210.4216
1356,210000,220.1054
1359,210600,154.7101
1361,211200,179.4835
1363,211800,219.6292
1366,212400,149.9087
1368,213000,219.508
1370,213600,215.9116
1373,214200,147.8726
1376,214800,124.3475
1378,215400,207.8826
1381,216000,130.4155
1383,216600,203.1048
1385,217200,204.9517
1387,217800,219.4434
1389,218400,135.9917
1391,219000,216.2758
1393,219600,190.2276
1396,220200,176.5131
1398,220800,218.0026
1400,221400,207.1975
1403,222000,70.6612
1405,222600,198.787
1407,223200,219.3445
1409,223800,207.9365
1411,224400,203.0276
1414,225000,157.8174
1416,225600,218.8135
1418,226200,191.4294
1420,226800,215.2451
1422,227400,214.7269
1425,228000,173.4851
1427,228600,129.7105
1431,229200,135.3986
1434,229800,128.5226
1436,230400,142.1637
1440,231000,129.7399
1442,231600,214.379
1444,232200,219.6559
1446,232800,154.9915
1448,233400,210.3046
1450,234000,214.9579
1452,234600,206.8607
1454,235200,213.2408
1456,235800,218.8618
1458,236400,205.1629
1460,237000,210.2301
1462,237600,230.8636
1465,238200,173.9053
1467,238800,151.8082
1470,239400,180.3117
1472,240000,215.3163
1474,240600,215.2777
1476,241200,211.9022
1478,241800,136.8056
1480,242400,186.4317
1482,243000,212.4245
1484,243600,210.5287
1486,244200,207.4348
1489,244800,178.6534
1491,245400,208.0062
1493,246000,203.8171
1495,246600,213.1248
1497,247200,197.1131
1499,247800,186.7568
1501,248400,213.8384
1503,249000,222.4994
1505,249600,208.6057
1507,250200,176.7804
1509,250800,208.4156
1511,251400,195.4584
1513,252000,194.7995
1515,252600,213.9687
1517,253200,211.0416
1519,253800,198.5145
1521,254400,202.6665
1523,255000,201.5016
1525,255600,210.3975
1527,256200,201.8696
1530,256800,157.9407
1532,257400,215.9948
1534,258000,152.36
1536,258600,199.9683
1538,259200,210.5378
1540,259800,211.9884
1542,260400,224.8903
1544,261000,206.6593
1546,261600,214.0272
1548,262200,203.5042
1550,262800,206.7928
1552,263400,172.7095
1554,264000,217.5016
1557,264600,177.1807
1559,265200,202.1428
1561,265800,212.3808
1563,266400,220.8712
1565,267000,210.6655
1567,267600,214.3664
1569,268200,210.1152
1571,268800,223.6901
1573,269400,205.204
1575,270000,204.3409
1577,270600,210.6769
1579,271200,202.4582
1581,271800,206.9929
1583,272400,225.1845
1585,273000,214.9703
1587,273600,206.5833
1589,274200,209.6875
1591,274800,220.7612
1593,275400,176.2338
1595,276000,137.6103
1597,276600,211.3747
1599,277200,217.5655
1601,277800,221.844
1603,278400,196.2406
1606,279000,154.8016
1608,279600,194.8515
1610,280200,215.0324
1612,280800,191.1533
1614,281400,191.6737
1617,282000,161.587
1619,282600,221.3098
1621,283200,190.7065
1623,283800,208.2055
1625,284400,209.1627
1628,285000,145.6193
1630,285600,202.5544
1632,286200,212.6875
1634,286800,190.1469
1637,287400,141.1557
1640,288000,143.5919
1642,288600,212.1749
1644,289200,198.3804
1646,289800,219.752
1648,290400,213.493
1650,291000,204.2551
1652,291600,173.98
1654,292200,164.9772
1656,292800,186.1557
1658,293400,208.7739
1660,294000,211.0774
1662,294600,182.6733
1665,295200,203.6864
1667,295800,218.4889
1669,296400,190.7366
1671,297000,207.2397
1673,297600,212.8037
1675,298200,171.4192
1677,298800,212.2552
1679,299400,196.6706
1682,300000,163.4555
1684,300600,211.4451
1686,301200,218.3244
1688,301800,207.6369
1690,302400,214.7946
1692,303000,218.8298
1694,303600,219.5637
1696,304200,216.0037
1698,304800,206.9673
1700,305400,221.2802
1702,306000,218.863
1704,306600,210.3078
1706,307200,207.8032
1709,307800,149.3265
1711,308400,204.1628
1713,309000,204.5995
1715,309600,223.1374
1717,310200,219.0271
1719,310800,220.5704
1721,311400,217.9574
1723,312000,206.6412
1725,312600,124.1434
1727,313200,218.2654
1729,313800,175.3067
1731,314400,212.1629
1733,315000,212.9265
1735,315600,214.4928
1737,316200,216.4762
1740,316800,140.0396
1742,317400,213.0319
1745,318000,196.7566
1747,318600,211.5528
1749,319200,209.1299
1751,319800,220.8655
1753,320400,208.3597
1755,321000,205.1829
1757,321600,208.0387
1759,322200,211.3607
1762,322800,72.0346
1765,323400,150.9278
1767,324000,216.368
1769,324600,216.5309
1771,325200,197.1939
1774,325800,145.7488
1777,326400,169.4657
1779,327000,189.9936
1781,327600,215.498
1785,328200,99.9617
1787,328800,193.8987
1789,329400,203.7755
1791,330000,224.0118
1793,330600,188.0596
1795,331200,208.114
1797,331800,207.5544
1799,332400,151.4504
1802,333000,162.7172
1804,333600,129.0332
1807,334200,164.0935
1809,334800,195.7848
1812,335400,140.6244
1814,336000,193.3782
1816,336600,205.8567
1818,337200,215.4399
1820,337800,112.9625
1822,338400,195.3026
1826,339000,116.8202
1828,339600,217.7237
1831,340200,122.6977
1834,340800,95.6969
1838,341400,106.6198
1840,342000,216.0489
1842,342600,226.7942
1845,343200,148.8238
1847,343800,209.8583
1849,344400,205.9505
1851,345000,212.1828
1853,345600,166.2068
1856,346200,148.3192
1858,346800,220.002
1862,347400,108.9486
1864,348000,207.6885
1866,348600,216.4559
1868,349200,221.181
1870,349800,222.1575
1872,350400,214.9652
1874,351000,221.6365
1876,351600,220.2439
1878,352200,218.796
1880,352800,216.3134
1882,353400,195.6669
1885,354000,146.1717
1887,354600,212.7697
1889,355200,194.0455
1891,355800,216.3537
1893,356400,219.9195
1895,357000,223.516
1898,357600,149.0182
1900,358200,145.5661
1903,358800,146.7676
1906,359400,176.5575
1908,360000,216.9076
1910,360600,225.4249
1912,361200,208.5668
1914,361800,212.5301
1916,362400,220.7626
1918,363000,145.0451
1920,363600,225.1642
1922,364200,212.5398
1924,364800,208.2043
1926,365400,217.9579
1928,366000,214.4407
1930,366600,218.6875
1932,367200,221.3725
1934,367800,220.2611
1936,368400,215.2668
1938,369000,218.6254
1940,369600,223.2896
1942,370200,219.6861
1944,370800,224.768
1946,371400,215.8308
1948,372000,215.2123
1950,372600,211.1847
1952,373200,218.0966
1954,373800,227.978
1956,374400,219.6677
1958,375000,219.8854
1960,375600,220.4267
1962,376200,216.5406
1964,376800,229.0917
1966,377400,223.3284
1969,378000,159.7193
1971,378600,221.0235
1973,379200,214.5372
1975,379800,212.8929
1977,380400,220.3851
1979,381000,222.5827
1981,381600,232.6237
1983,382200,222.0665
1985,382800,223.9771
1988,383400,168.1998
1990,384000,211.9637
1992,384600,219.0744
1994,385200,216.9392
1996,385800,223.2447
1998,386400,220.0013
2000,387000,212.4374
2002,387600,222.4258
2004,388200,184.6599
2006,388800,222.2708
2008,389400,214.232
2010,390000,227.912
2012,390600,225.1685
2015,391200,143.6755
2017,391800,215.4913
2019,392400,225.0188
2021,393000,220.0393
2023,393600,192.4987
2025,394200,218.0543
2027,394800,211.3334
2029,395400,221.5388
2031,396000,210.3025
2033,396600,218.7404
2035,397200,212.9755
2038,397800,164.5369
2040,398400,160.406
2042,399000,211.6862
2044,399600,224.6026
2046,400200,212.9844
2048,400800,220.2063
2050,401400,222.4222
2052,402000,217.5194
2054,402600,222.9205
2057,403200,164.0282
2060,403800,147.443
2062,404400,219.203
2064,405000,217.9435
2066,405600,222.2194
2068,406200,218.7052
2070,406800,222.3969
2072,407400,220.2741
2074,408000,210.9837
2076,408600,220.2492
2078,409200,225.5214
2080,409800,214.7469
2082,410400,215.1469
2084,411000,222.3052
2086,411600,205.2718
2088,412200,220.3209
2090,412800,195.9298
2092,413400,215.2313
2094,414000,198.9352
2096,414600,217.0412
2098,415200,214.9349
2101,415800,158.1721
2103,416400,123.6764
2105,417000,226.7905
2107,417600,217.1022
2109,418200,201.2789
2112,418800,174.6004
2114,419400,206.2729
2116,420000,221.9249
2118,420600,217.8522
2120,421200,218.7807
2122,421800,220.8803
2124,422400,212.9882
2126,423000,228.757
2129,423600,155.9996
2131,424200,222.8761
2133,424800,214.0518
2135,425400,224.9266
2137,426000,214.3716
2139,426600,200.4424
2141,427200,225.8619
2143,427800,132.8221
2146,428400,140.0027
2148,429000,219.9111
2150,429600,204.7018
2152,430200,202.3842
2154,430800,222.6969
2156,431400,231.8392
2158,432000,213.4172
2160,432600,222.7039
2163,433200,170.4904
2165,433800,216.1942
2167,434400,209.0289
2169,435000,205.1434
2171,435600,192.2296
2173,436200,223.1709
2175,436800,173.9067
2177,437400,204.5022
2179,438000,215.7128
2181,438600,213.5238
2183,439200,196.603
2185,439800,192.287
2187,440400,220.0708
2189,441000,224.1956
2191,441600,222.2576
2193,442200,218.618
2195,442800,221.9782
2197,443400,216.643
2199,444000,214.1792
2201,444600,213.0046
2203,445200,141.6116
2205,445800,220.9024
2207,446400,209.2118
2209,447000,212.4317
2211,447600,214.0384
2213,448200,215.9257
2215,448800,213.484
2217,449400,212.7359
2219,450000,207.2177
2221,450600,216.7052
2223,451200,212.9837
2225,451800,217.5991
2227,452400,228.6053
2229,453000,213.1299
2232,453600,169.1003
2234,454200,219.165
2236,454800,212.837
2238,455400,216.8971
2240,456000,217.8396
2242,456600,224.6524
2244,457200,212.416
2246,457800,215.9842
2248,458400,219.6889
2250,459000,217.3252
2252,459600,217.8373
2254,460200,212.6143
2256,460800,213.4772
2258,461400,224.1214
2260,462000,221.5155
2262,462600,228.184
2264,463200,222.3402
2266,463800,200.572
2268,464400,214.3417
2270,465000,199.0139
2272,465600,222.1225
2274,466200,117.9704
2276,466800,207.4089
2278,467400,217.5483
2280,468000,215.1965
2282,468600,215.2901
2284,469200,197.5912
2286,469800,195.6266
2288,470400,219.5221
2290,471000,221.4143
2292,471600,224.6129
2294,472200,218.5385
2296,472800,231.2316
2298,473400,232.9723
2300,474000,214.3341
2302,474600,226.9126
2304,475200,217.1402
2306,475800,219.5856
2308,476400,211.5574
2310,477000,221.2301
2312,477600,210.7363
2314,478200,190.4797
2316,478800,213.5438
2318,479400,200.6912
2320,480000,202.4827
2322,480600,222.9424
2324,481200,221.0038
2326,481800,229.0436
2328,482400,224.0921
2330,483000,228.0466
2332,483600,222.2476
2334,484200,209.6347
2336,484800,225.0726
2338,485400,215.4111
2340,486000,216.6264
2342,486600,228.1536
2344,487200,215.3449
2346,487800,226.1359
2348,488400,223.6566
2350,489000,213.0186
2352,489600,221.1341
2356,490200,125.4388
2358,490800,229.8098
2360,491400,227.5384
2362,492000,206.3114
2364,492600,226.9921
2366,493200,232.0288
2368,493800,223.0922
2370,494400,201.7781
2373,495000,147.8855
2376,495600,114.4284
2378,496200,205.1609
2380,496800,221.809
2382,497400,223.9854
2384,498000,216.3541
2386,498600,194.7197
2388,499200,220.1182
2390,499800,217.0703
2392,500400,219.9621
2394,501000,233.4067
2396,501600,240.8714
2398,502200,222.1265
2400,502800,226.6333
2402,503400,223.6088
2404,504000,228.7235
2406,504600,125.7879
2408,505200,230.5769
2410,505800,234.4008
2412,506400,234.0638
2414,507000,223.2348
2416,507600,217.6364
2418,508200,221.7585
2420,508800,217.0129
2422,509400,222.744
2424,510000,237.628
2426,510600,231.0924
2428,511200,230.6362
2430,511800,226.8002
2432,512400,227.5034
2434,513000,215.9926
2436,513600,233.508
2439,514200,159.7677
2441,514800,228.8133
2443,515400,236.4142
2445,516000,228.8438
2448,516600,187.923
2450,517200,221.5607
2452,517800,233.6131
2454,518400,221.6161
2456,519000,230.864
2458,519600,220.3807
2460,520200,228.1941
2462,520800,239.3704
2464,521400,232.6699
2466,522000,219.205
2468,522600,223.9674
2470,523200,228.7942
2472,523800,223.0961
2474,524400,223.2065
2476,525000,232.6207
2478,525600,218.0517
2480,526200,221.4266
2482,526800,221.7593
2484,527400,226.459
2486,528000,225.9421
2488,528600,158.9691
2490,529200,200.2655
2492,529800,234.3443
2494,530400,223.0495
2496,531000,219.4315
2498,531600,220.0322
2500,532200,193.1912
2502,532800,234.3061
2505,533400,195.6231
2507,534000,220.7455
2509,534600,213.6033
2511,535200,222.1866
2513,535800,218.6274
2515,536400,225.1277
2517,537000,123.8633
2520,537600,210.8339
2522,538200,222.3411
2524,538800,216.029
2526,539400,133.0932
2528,540000,210.4829
2530,540600,210.9688
2532,541200,220.511
2534,541800,225.0578
2536,542400,222.7033
2538,543000,223.2635
2540,543600,220.2177
2542,544200,221.4895
2544,544800,232.5709
2546,545400,211.0279
2548,546000,221.5882
2550,546600,214.4217
2552,547200,223.153
2554,547800,215.6464
2556,548400,236.4463
2558,549000,221.6163
2560,549600,221.1064
2562,550200,221.9373
2564,550800,220.6682
2566,551400,227.3653
2568,552000,219.6252
2570,552600,225.7485
2572,553200,235.6672
2574,553800,223.6197
2576,554400,223.4819
2578,555000,204.8524
2580,555600,218.7949
2582,556200,216.7377
2584,556800,200.8573
2586,557400,208.8846
2588,558000,213.587
2591,558600,156.1176
2593,559200,215.3503
2595,559800,220.7959
2597,560400,227.985
2599,561000,214.8239
2601,561600,219.619
2603,562200,212.8119
2605,562800,234.5852
2607,563400,229.8267
2609,564000,230.8743
2611,564600,227.4838
2613,565200,220.411
2615,565800,223.3771
2617,566400,227.9309
2619,567000,236.2519
2621,567600,223.6717
2623,568200,229.3713
2625,568800,219.3899
2627,569400,225.1912
2629,570000,225.7322
2631,570600,229.9575
2633,571200,230.6031
2635,571800,221.8749
2637,572400,222.1049
2639,573000,231.5439
2641,573600,202.0006
2643,574200,211.2008
2645,574800,219.2697
2647,575400,213.5763
2649,576000,220.9932
2651,576600,232.2295
2653,577200,216.7949
2655,577800,220.8255
2657,578400,225.1257
2659,579000,231.4798
2661,579600,227.3924
2664,580200,166.6437
2666,580800,226.5818
2668,581400,232.6178
2670,582000,227.3233
2672,582600,219.0096
2674,583200,224.4053
2676,583800,218.1163
2678,584400,220.7054
2680,585000,210.9746
2682,585600,229.6005
2684,586200,223.535
2686,586800,219.8891
2688,587400,232.0835
2690,588000,219.7127
2692,588600,205.3249
2694,589200,220.6551
2696,589800,224.4348
2698,590400,219.6844
2700,591000,228.0182
2702,591600,228.6288
2704,592200,205.5655
2706,592800,227.7951
2708,593400,219.4136
2710,594000,223.8406
2712,594600,218.665
2714,595200,214.4166
2716,595800,208.5678
2718,596400,218.3501
2720,597000,209.3065
2722,597600,233.5087
2724,598200,218.9284
2726,598800,221.4816
2728,599400,218.9237
2730,600000,219.9093
2732,600600,225.8489
2734,601200,224.8556
2736,601800,217.8891
2738,602400,214.9651
2740,603000,209.1513
2742,603600,219.9176
2744,604200,215.2834
2746,604800,211.9387
2748,605400,212.0913
2750,606000,219.1097
2752,606600,215.5483
2754,607200,219.8907
2756,607800,207.4691
2758,608400,195.9421
2760,609000,216.2062
2762,609600,221.5367
2764,610200,217.2161
2766,610800,220.0885
2768,611400,206.4099
2770,612000,207.826
2772,612600,205.0395
2774,613200,194.8538
2776,613800,215.2662
2778,614400,210.3634
2780,615000,220.2164
2782,615600,225.4248
2784,616200,221.2804
2786,616800,208.325
2788,617400,224.0403
